professor_id,name_en,name,rank,position,status,external_position,research_areas,research_categories,search_terms,exclude_terms,known_affiliations,strict_affiliation
P001,,고길곤,교수,글로벌행정발전연구소장,재직,,계량분석;연구방법론;정책분석;의사결정이론;중국행정개혁;부패,행정·조직;정책분석·방법론;국제·개발,정책분석;계량분석;의사결정;중국행정;부패,,한국교육정보화재단 이사장;한국교육정보화재단;대통령국민경제자문위원,yes
P002,,구민교,교수,공공리더십과정 주임,재직,,국제행정;통상정책;동아시아 지역주의;국제해양질서,국제·개발,통상정책;해양질서;국제행정;동아시아,,,yes
P003,,권일웅,교수,공기업정책학과장,재직,,거버넌스;인사와 조직;혁신;정책평가,행정·조직;재정·경제;정책분석·방법론,거버넌스;인사;조직;혁신;정책평가,,,yes
P004,,권혁주,교수,,휴직,한국행정연구원 원장,정책이론;사회정책;글로벌 거버넌스;국제개발협력,사회·복지;국제·개발;행정·조직,사회정책;글로벌 거버넌스;국제개발협력;한국행정연구원,스포츠,,yes
P005,,금현섭,교수,원장,재직,,분배정책;복지정책;정책평가;방법론,사회·복지;재정·경제;정책분석·방법론,분배정책;복지정책;정책평가,,,yes
P006,,김병조,부교수,,재직,,증거기반정책;조직행태;탈북 및 이주민 정책;혼합연구방법,정책분석·방법론;행정·조직;사회·복지,증거기반정책;조직행태;탈북;이주민;혼합연구,,,yes
P007,,김봉환,교수,,재직,,재무행정;공공회계;공기업평가;은행감독,재정·경제,재무행정;공공회계;공기업평가;은행감독,,,yes
P008,,김상헌,교수,,재직,,재정학;재무행정;계약이론;정치경제학,재정·경제,재정학;재무행정;계약이론;정치경제,,,yes
P009,,김윤지,부교수,한국정책지식센터장·정책학전공 주임,재직,,공공재정;지방정부 서비스;지역사회개발,재정·경제;행정·조직,공공재정;지방정부;지역사회개발;한국정책지식센터,,,yes
P010,,김유선,조교수,,재직,,재무행정;보건정책;보건재정,재정·경제;사회·복지,재무행정;보건정책;보건재정,노동연구원,,yes
P011,,김정훈,조교수,,재직,,에너지정책;기술혁신정책;행태경제정책;수요예측모형,환경·에너지;재정·경제;정책분석·방법론,에너지정책;기술혁신;행태경제;수요예측,축구;야구;배우;가수,,yes
P012,,김준기,교수,,재직,,재무행정;정부-기업관계;공기업론;준공공부문;정보통신정책,재정·경제;디지털·AI,공기업;정부 기업관계;정보통신정책;재무행정,배우;가수,,yes
P013,,나종민,부교수,학생부원장·행정학과장,재직,,공공안전;범죄;형사사법;경찰행정;계량분석;연구방법론,법·안전;정책분석·방법론,공공안전;범죄;형사사법;경찰행정,,,yes
P014,,박상인,교수,,재직,,산업조직론;계량경제학;재벌정책;경제정책;경쟁정책;방송통신정책,재정·경제,재벌;공정거래;경쟁정책;경제정책;산업조직,,,yes
P015,,박순애,교수,,재직,,성과관리;환경정책;위험관리;정책평가,환경·에너지;정책분석·방법론;법·안전,성과관리;환경정책;위험관리;정책평가,,,yes
P016,,박정훈,교수,국가정책과정 주임,재직,,행정정보관리;정보정책;전자정부;조사방법론;계량분석,디지털·AI;정책분석·방법론,전자정부;정보정책;행정정보;계량분석,배우;야구,,yes
P017,,엄석진,교수,,재직,,전자정부;정보화정책;한국행정사;행정이론;연구방법론,디지털·AI;행정·조직;정책분석·방법론,전자정부;정보화정책;한국행정;행정이론,,,yes
P018,,우지숙,교수,행정논총 편집위원장,재직,,행정과 커뮤니케이션;정책홍보;조직커뮤니케이션;인터넷정책;저작권법;프라이버시;개인정보보호;인공지능정책;정부-언론 관계,디지털·AI;행정·조직;법·안전,인공지능정책;개인정보;프라이버시;저작권;정부 언론;정책홍보,,,yes
P019,,유종현,조교수,,재직,,기후변화 경제학;자연재해 방재;에너지정책,환경·에너지;재정·경제,기후변화;자연재해;방재;에너지정책,,,yes
P020,,이석원,교수,한국행정연구소장·국제개발협력평가센터장,재직,,복지정책;복지제도개혁;정책평가;정책분석;사회실험,사회·복지;정책분석·방법론;국제·개발,복지정책;정책평가;정책분석;사회실험;국제개발협력평가,,,yes
P021,,이수영,교수,세종캠퍼스 협동과정 국가정책행정전공 주임교수,재직,,인사행정;조직행태;공공관리;조직이론;정부혁신,행정·조직,인사행정;조직행태;공공관리;정부혁신,가수;배우;스포츠,,yes
P022,,이진수,부교수,AI미래전략과정 주임,재직,,행정법;지방자치법;지방재정법;공무원법,법·안전;재정·경제,행정법;지방자치법;지방재정법;공무원법;AI미래전략,야구;축구,,yes
P023,,전소희,부교수,,재직,,행정윤리;조직행태;인적자원관리;다문화;이민정책,행정·조직;사회·복지,행정윤리;조직행태;인적자원;다문화;이민정책,,,yes
P024,,전영한,교수,정보지식정책연구소장,재직,,공공관리론;정책도구론,행정·조직,공공관리;정책도구;정보지식정책연구소,,,yes
P025,,정광호,교수,,재직,,정책이론;대통령 정책관리;인적자원정책;정책수단론,행정·조직;정책분석·방법론,정책이론;대통령 정책관리;인적자원정책;정책수단,,,yes
P026,,정호용,부교수,,재직,,공공재정;정치경제;교육정책;인구정책;계량분석,재정·경제;사회·복지;정책분석·방법론,공공재정;정치경제;교육정책;인구정책,,,yes
P027,,최창용,교수,글로벌행정전공 주임,재직,,국제개발협력;ODA;경제협력;개발금융;디지털 민주주의;정책평가;북한경제,국제·개발;디지털·AI;정책분석·방법론,국제개발협력;ODA;개발금융;디지털 민주주의;북한경제,,,yes
P028,,최태현,교수,교무부원장·BK21 사업단장,재직,,거버넌스;집단의사결정;조직학습;정책학습;행정가치;윤리;행위자기반모델링,행정·조직;정책분석·방법론,거버넌스;집단의사결정;조직학습;정책학습;행정윤리;행위자기반,,,yes
P029,,함현호,조교수,,재직,,정치행태;정치제도;정책과정;정당;정치경제,행정·조직;재정·경제,정치행태;정치제도;정책과정;정당;정치경제,,,yes
P030,Jörg Michael Dostal,JÖRG MICHAEL DOSTAL,교수,,재직,,글로벌 노동;연금;사회정책;국제 거버넌스,사회·복지;국제·개발,Jörg Michael Dostal;Dostal;연금;사회정책;국제 거버넌스,,,yes
